DATE,AZTAST
1984-01-01,18953025
1984-04-01,19894222
1984-07-01,20091080
1984-10-01,21474757
1985-01-01,21434443
1985-04-01,22649919
1985-07-01,22728713
1985-10-01,24553348
1986-01-01,24281109
1986-04-01,25552327
1986-07-01,25216367
1986-10-01,27592678
1987-01-01,26455190
1987-04-01,26917665
1987-07-01,26442032
1987-10-01,27677927
1988-01-01,27230173
1988-04-01,27422545
1988-07-01,27277609
1988-10-01,28200581
1989-01-01,28082249
1989-04-01,27814585
1989-07-01,26519939
1989-10-01,26427948
1990-01-01,27161426
1990-04-01,30249260
1990-07-01,29650645
1990-10-01,32651832
1991-01-01,33845554
1991-04-01,34433809
1991-07-01,35366902
1991-10-01,35570354
1992-01-01,35658411
1992-04-01,35305839
1992-07-01,34904422
1992-10-01,36264432
1993-01-01,35577293
1993-04-01,35962888
1993-07-01,35603686
1993-10-01,37103567
1994-01-01,37591114
1994-04-01,38642695
1994-07-01,37757044
1994-10-01,42942548
1995-01-01,42852922
1995-04-01,44538570
1995-07-01,48878884
1995-10-01,51393642
1996-01-01,53122391
1996-04-01,54021575
1996-07-01,44958111
1996-10-01,48052148
1997-01-01,39151453
1997-04-01,38844014
1997-07-01,38412379
1997-10-01,39330216
1998-01-01,38734130
1998-04-01,37925206
1998-07-01,38099233
1998-10-01,42261068
1999-01-01,41130157
1999-04-01,51104683
1999-07-01,46955997
1999-10-01,47700413
2000-01-01,53226621
2000-04-01,55993038
2000-07-01,56940464
2000-10-01,61829519
2001-01-01,63035029
2001-04-01,69338409
2001-07-01,64840800
2001-10-01,43807524
2002-01-01,42321180
2002-04-01,43918160
2002-07-01,46374376
2002-10-01,48365355
2003-01-01,49281321
2003-04-01,52361229
2003-07-01,55154741
2003-10-01,59954040
2004-01-01,48952480
2004-04-01,52303555
2004-07-01,54849392
2004-10-01,58624495
2005-01-01,69227967
2005-04-01,73366096
2005-07-01,76602490
2005-10-01,80451166
2006-01-01,79606757
2006-04-01,74597533
2006-07-01,75981306
2006-10-01,17962584
2007-01-01,18014689
2007-04-01,17757226
2007-07-01,18207043
2007-10-01,18496998
2008-01-01,18808802
2008-04-01,15502008
2008-07-01,15560655
2008-10-01,15654080
2009-01-01,15871123
2009-04-01,15767473
2009-07-01,15331545
2009-10-01,14517934
2010-01-01,14122075
2010-04-01,13757883
2010-07-01,13444354
2010-10-01,13573658
2011-01-01,13239135
2011-04-01,12905857
2011-07-01,12005005
2011-10-01,11961989
2012-01-01,12131624
2012-04-01,12089470
2012-07-01,12063511
2012-10-01,12184544
2013-01-01,12434311
2013-04-01,12350758
2013-07-01,12476083
2013-10-01,18268749
2014-01-01,18650256
2014-04-01,19025739
2014-07-01,19137367
2014-10-01,19594295
2015-01-01,20543430
2015-04-01,21963225
2015-07-01,22552279
2015-10-01,17919749
2016-01-01,19045227
2016-04-01,20618057
2016-07-01,20984435
2016-10-01,21096529
2017-01-01,22227563
2017-04-01,22696101
2017-07-01,23767742
2017-10-01,24388774
2018-01-01,24895941
2018-04-01,25589489
2018-07-01,26340557
2018-10-01,27312622
2019-01-01,28174791
2019-04-01,29843926
2019-07-01,30967945
2019-10-01,31210017
2020-01-01,33172435
2020-04-01,36608281
2020-07-01,38175624
