DATE,CATAST
1984-01-01,276369817
1984-04-01,278211219
1984-07-01,278382209
1984-10-01,278818671
1985-01-01,279728337
1985-04-01,286985299
1985-07-01,289378803
1985-10-01,292671885
1986-01-01,290839658
1986-04-01,289975786
1986-07-01,293179631
1986-10-01,290648445
1987-01-01,282210889
1987-04-01,282164877
1987-07-01,284118850
1987-10-01,280619678
1988-01-01,285237953
1988-04-01,289069032
1988-07-01,295630724
1988-10-01,297424965
1989-01-01,301840752
1989-04-01,311632016
1989-07-01,314321836
1989-10-01,319487386
1990-01-01,325002632
1990-04-01,338299868
1990-07-01,337347682
1990-10-01,340169199
1991-01-01,341893932
1991-04-01,343470898
1991-07-01,348513390
1991-10-01,347264599
1992-01-01,340394226
1992-04-01,330291863
1992-07-01,330282921
1992-10-01,324080144
1993-01-01,319086309
1993-04-01,318620630
1993-07-01,322361542
1993-10-01,321812496
1994-01-01,331003688
1994-04-01,329618856
1994-07-01,331268890
1994-10-01,338188273
1995-01-01,348540777
1995-04-01,351339653
1995-07-01,351356180
1995-10-01,360442465
1996-01-01,358641831
1996-04-01,386573964
1996-07-01,401542360
1996-10-01,410916567
1997-01-01,438077174
1997-04-01,449028449
1997-07-01,463726366
1997-10-01,467844964
1998-01-01,473235998
1998-04-01,473491740
1998-07-01,484781537
1998-10-01,506827754
1999-01-01,505596781
1999-04-01,503676849
1999-07-01,261357427
1999-10-01,276808423
2000-01-01,283831766
2000-04-01,288833327
2000-07-01,293580222
2000-10-01,309093799
2001-01-01,320574090
2001-04-01,323318751
2001-07-01,329978507
2001-10-01,349199002
2002-01-01,353496057
2002-04-01,364071320
2002-07-01,390884395
2002-10-01,416138889
2003-01-01,431441332
2003-04-01,425455031
2003-07-01,449738270
2003-10-01,481215482
2004-01-01,238540573
2004-04-01,247023538
2004-07-01,251607057
2004-10-01,265813575
2005-01-01,271950451
2005-04-01,279674816
2005-07-01,289316433
2005-10-01,304061484
2006-01-01,307905794
2006-04-01,320522224
2006-07-01,326963735
2006-10-01,331659243
2007-01-01,343473683
2007-04-01,345840843
2007-07-01,357519720
2007-10-01,363335428
2008-01-01,364005686
2008-04-01,370558516
2008-07-01,377828091
2008-10-01,397036349
2009-01-01,410521913
2009-04-01,410485242
2009-07-01,412916051
2009-10-01,399368364
2010-01-01,400356006
2010-04-01,396473234
2010-07-01,411893465
2010-10-01,421368569
2011-01-01,425108111
2011-04-01,425056493
2011-07-01,435285052
2011-10-01,442033484
2012-01-01,444726185
2012-04-01,445564433
2012-07-01,450069203
2012-10-01,457380135
2013-01-01,456356775
2013-04-01,477299862
2013-07-01,491724875
2013-10-01,501808648
2014-01-01,539922939
2014-04-01,560266904
2014-07-01,570083126
2014-10-01,587863945
2015-01-01,600094300
2015-04-01,610354297
2015-07-01,632692819
2015-10-01,641156923
2016-01-01,657738394
2016-04-01,664872275
2016-07-01,685606821
2016-10-01,699063947
2017-01-01,706018266
2017-04-01,716865062
2017-07-01,729452938
2017-10-01,737957405
2018-01-01,748111634
2018-04-01,755990366
2018-07-01,762228992
2018-10-01,782503789
2019-01-01,796729212
2019-04-01,813544528
2019-07-01,829080767
2019-10-01,843262929
2020-01-01,887064433
2020-04-01,946663218
2020-07-01,958551907
