DATE,FLTAST
1984-01-01,71067740
1984-04-01,72292764
1984-07-01,72030369
1984-10-01,77119467
1985-01-01,78290873
1985-04-01,80223041
1985-07-01,82395369
1985-10-01,87940565
1986-01-01,89178687
1986-04-01,91809092
1986-07-01,93619120
1986-10-01,103184255
1987-01-01,100659081
1987-04-01,103098435
1987-07-01,105396414
1987-10-01,110943461
1988-01-01,112197003
1988-04-01,113520044
1988-07-01,115263514
1988-10-01,120244727
1989-01-01,122242897
1989-04-01,124851601
1989-07-01,125447583
1989-10-01,133051437
1990-01-01,135533437
1990-04-01,134457970
1990-07-01,136317286
1990-10-01,137208023
1991-01-01,138131633
1991-04-01,138596654
1991-07-01,141288078
1991-10-01,138867000
1992-01-01,141855147
1992-04-01,139693385
1992-07-01,141513943
1992-10-01,147495272
1993-01-01,146348859
1993-04-01,144462390
1993-07-01,145935783
1993-10-01,150379741
1994-01-01,150333210
1994-04-01,152261403
1994-07-01,158486221
1994-10-01,164209708
1995-01-01,164416219
1995-04-01,167615764
1995-07-01,168194796
1995-10-01,150761738
1996-01-01,154367931
1996-04-01,155340022
1996-07-01,155952720
1996-10-01,160707812
1997-01-01,163009358
1997-04-01,114303341
1997-07-01,112147416
1997-10-01,116959445
1998-01-01,122092708
1998-04-01,119715328
1998-07-01,117459439
1998-10-01,81238922
1999-01-01,80498578
1999-04-01,83402498
1999-07-01,83841716
1999-10-01,86284054
2000-01-01,54654492
2000-04-01,56064549
2000-07-01,57505686
2000-10-01,58880526
2001-01-01,61158943
2001-04-01,62353475
2001-07-01,61170765
2001-10-01,62194013
2002-01-01,64711389
2002-04-01,66967192
2002-07-01,69196229
2002-10-01,72083293
2003-01-01,74677422
2003-04-01,75633075
2003-07-01,77237869
2003-10-01,79300763
2004-01-01,83252891
2004-04-01,83598300
2004-07-01,84439096
2004-10-01,89237569
2005-01-01,86648651
2005-04-01,89904809
2005-07-01,93209148
2005-10-01,97523960
2006-01-01,101414037
2006-04-01,104744795
2006-07-01,106732741
2006-10-01,113035503
2007-01-01,116762521
2007-04-01,115842032
2007-07-01,112406496
2007-10-01,112921133
2008-01-01,115115346
2008-04-01,112672545
2008-07-01,113250484
2008-10-01,116362572
2009-01-01,118944945
2009-04-01,117824946
2009-07-01,117502853
2009-10-01,114431745
2010-01-01,113950149
2010-04-01,105017845
2010-07-01,104595825
2010-10-01,102580915
2011-01-01,103875501
2011-04-01,108238382
2011-07-01,113822117
2011-10-01,95519414
2012-01-01,116825002
2012-04-01,117338204
2012-07-01,117305258
2012-10-01,118829409
2013-01-01,120058149
2013-04-01,121326427
2013-07-01,122244819
2013-10-01,124375934
2014-01-01,126415485
2014-04-01,129649208
2014-07-01,131511649
2014-10-01,133561137
2015-01-01,137077323
2015-04-01,138334523
2015-07-01,141162734
2015-10-01,144020687
2016-01-01,140285994
2016-04-01,144519449
2016-07-01,146543733
2016-10-01,150920759
2017-01-01,154277702
2017-04-01,158422417
2017-07-01,153211334
2017-10-01,156762621
2018-01-01,155599415
2018-04-01,156597396
2018-07-01,158966846
2018-10-01,162611308
2019-01-01,152875285
2019-04-01,158929062
2019-07-01,159226527
2019-10-01,159637990
2020-01-01,171058455
2020-04-01,195899873
2020-07-01,196493301
