DATE,NYTAST
1984-01-01,545261878
1984-04-01,561738995
1984-07-01,554548588
1984-10-01,578068329
1985-01-01,580718366
1985-04-01,594777717
1985-07-01,609739857
1985-10-01,624912255
1986-01-01,632536800
1986-04-01,637190832
1986-07-01,634446855
1986-10-01,672380900
1987-01-01,676972837
1987-04-01,667079313
1987-07-01,683201372
1987-10-01,674072930
1988-01-01,687272813
1988-04-01,680242442
1988-07-01,686648563
1988-10-01,671227799
1989-01-01,695421664
1989-04-01,695552681
1989-07-01,684669501
1989-10-01,682571607
1990-01-01,711656923
1990-04-01,709638487
1990-07-01,726737032
1990-10-01,691739205
1991-01-01,687090912
1991-04-01,698446314
1991-07-01,710741743
1991-10-01,699575961
1992-01-01,709737262
1992-04-01,722983958
1992-07-01,740265481
1992-10-01,705693721
1993-01-01,736283282
1993-04-01,750564542
1993-07-01,765990878
1993-10-01,770458994
1994-01-01,866533624
1994-04-01,886220319
1994-07-01,869597220
1994-10-01,875062357
1995-01-01,926042353
1995-04-01,904464837
1995-07-01,922428994
1995-10-01,922833972
1996-01-01,940154378
1996-04-01,980883319
1996-07-01,1005208260
1996-10-01,1032229645
1997-01-01,1051186140
1997-04-01,1085912184
1997-07-01,1117361491
1997-10-01,1119205221
1998-01-01,1135916825
1998-04-01,1172904630
1998-07-01,1168211453
1998-10-01,1145017762
1999-01-01,1151627577
1999-04-01,1128034307
1999-07-01,1100542913
1999-10-01,1170185861
2000-01-01,1178712319
2000-04-01,1198692039
2000-07-01,1239914156
2000-10-01,1304723774
2001-01-01,1366069196
2001-04-01,1370231736
2001-07-01,1458959119
2001-10-01,1350856910
2002-01-01,1350603539
2002-04-01,1433137759
2002-07-01,1458981184
2002-10-01,1488691170
2003-01-01,1507445131
2003-04-01,1602586770
2003-07-01,1577901922
2003-10-01,1595462417
2004-01-01,1649741972
2004-04-01,1719407226
2004-07-01,1622308586
2004-10-01,1010074345
2005-01-01,1022145277
2005-04-01,1064308882
2005-07-01,1062384118
2005-10-01,1067455960
2006-01-01,1118728142
2006-04-01,1166546735
2006-07-01,1210342136
2006-10-01,394091727
2007-01-01,387305415
2007-04-01,408746380
2007-07-01,334267111
2007-10-01,338988940
2008-01-01,342202434
2008-04-01,351107667
2008-07-01,439626849
2008-10-01,590640470
2009-01-01,547931423
2009-04-01,507453249
2009-07-01,508253187
2009-10-01,484339747
2010-01-01,478467541
2010-04-01,513940205
2010-07-01,541115371
2010-10-01,524302195
2011-01-01,543275451
2011-04-01,608240045
2011-07-01,644439913
2011-10-01,653733790
2012-01-01,619185028
2012-04-01,671828181
2012-07-01,694645563
2012-10-01,720995032
2013-01-01,715705699
2013-04-01,720969688
2013-07-01,738929504
2013-10-01,749379213
2014-01-01,749355513
2014-04-01,793978078
2014-07-01,783006043
2014-10-01,791274900
2015-01-01,820887975
2015-04-01,825130869
2015-07-01,821026316
2015-10-01,880154732
2016-01-01,876138652
2016-04-01,901472833
2016-07-01,907913782
2016-10-01,833688446
2017-01-01,831865786
2017-04-01,848346222
2017-07-01,862176791
2017-10-01,901389329
2018-01-01,909786334
2018-04-01,901572922
2018-07-01,898696906
2018-10-01,933107777
2019-01-01,923689802
2019-04-01,979063510
2019-07-01,992381163
2019-10-01,1016532907
2020-01-01,1158796858
2020-04-01,1188428456
2020-07-01,1187466381
