DATE,EMPLOYCA
2003-10-01,16400900
2004-01-01,16407400
2004-04-01,16443500
2004-07-01,16519800
2004-10-01,16577400
2005-01-01,16624700
2005-04-01,16726200
2005-07-01,16810400
2005-10-01,16872200
2006-01-01,16898300
2006-04-01,16909600
2006-07-01,16887500
2006-10-01,16892200
2007-01-01,17011300
2007-04-01,17109700
2007-07-01,17199500
2007-10-01,17234100
2008-01-01,17219700
2008-04-01,17208100
2008-07-01,17152800
2008-10-01,17112800
2009-01-01,16979400
2009-04-01,16795700
2009-07-01,16577700
2009-10-01,16331600
2010-01-01,16196200
2010-04-01,16115700
2010-07-01,16056700
2010-10-01,16007900
2011-01-01,15961400
2011-04-01,15928100
2011-07-01,15940500
2011-10-01,16035100
2012-01-01,16158100
2012-04-01,16269900
2012-07-01,16401300
2012-10-01,16529000
2013-01-01,16688500
2013-04-01,16839000
2013-07-01,16949800
2013-10-01,17000000
2014-01-01,17031000
2014-04-01,17076600
2014-07-01,17175200
2014-10-01,17297900
2015-01-01,17433600
2015-04-01,17602100
2015-07-01,17716500
2015-10-01,17798000
2016-01-01,17874900
2016-04-01,17921800
2016-07-01,18051700
2016-10-01,18159400
2017-01-01,18192500
2017-04-01,18213000
2017-07-01,18220800
2017-10-01,18304900
2018-01-01,18403400
2018-04-01,18481200
2018-07-01,18566000
2018-10-01,18666100
2019-01-01,18679400
2019-04-01,18666700
2019-07-01,18668000
2019-10-01,18641800
2020-01-01,18617800
2020-04-01,17905500
2020-07-01,17366900
2020-10-01,16966500
2021-01-01,16682600
2021-04-01,17129900
2021-07-01,17426800
2021-10-01,17645600
2022-01-01,17918500
2022-04-01,18150800
2022-07-01,18315600
