DATE,EMPLOYFL
2003-10-01,7590500
2004-01-01,7663400
2004-04-01,7761500
2004-07-01,7876300
2004-10-01,7997000
2005-01-01,8076800
2005-04-01,8201600
2005-07-01,8314200
2005-10-01,8401000
2006-01-01,8503100
2006-04-01,8596500
2006-07-01,8669800
2006-10-01,8762400
2007-01-01,8812900
2007-04-01,8846800
2007-07-01,8880100
2007-10-01,8861000
2008-01-01,8823400
2008-04-01,8767100
2008-07-01,8731100
2008-10-01,8654300
2009-01-01,8532900
2009-04-01,8408500
2009-07-01,8253000
2009-10-01,8130000
2010-01-01,8074900
2010-04-01,8067600
2010-07-01,8056700
2010-10-01,8065000
2011-01-01,8109900
2011-04-01,8121500
2011-07-01,8140900
2011-10-01,8179800
2012-01-01,8263600
2012-04-01,8360400
2012-07-01,8463500
2012-10-01,8571600
2013-01-01,8624900
2013-04-01,8681000
2013-07-01,8733300
2013-10-01,8764400
2014-01-01,8818200
2014-04-01,8873300
2014-07-01,8964100
2014-10-01,9017500
2015-01-01,9000200
2015-04-01,8974400
2015-07-01,8980100
2015-10-01,9023100
2016-01-01,9108000
2016-04-01,9181700
2016-07-01,9205300
2016-10-01,9283000
2017-01-01,9400300
2017-04-01,9518100
2017-07-01,9625700
2017-10-01,9698700
2018-01-01,9731900
2018-04-01,9778100
2018-07-01,9815800
2018-10-01,9878700
2019-01-01,9908400
2019-04-01,9923800
2019-07-01,9971900
2019-10-01,10031800
2020-01-01,10064600
2020-04-01,9676200
2020-07-01,9451500
2020-10-01,9279200
2021-01-01,9190700
2021-04-01,9567400
2021-07-01,9790400
2021-10-01,9934500
2022-01-01,10046800
2022-04-01,10157900
2022-07-01,10281300
