DATE,EMPLOYNY
2003-10-01,8852700
2004-01-01,8809300
2004-04-01,8768400
2004-07-01,8813800
2004-10-01,8870400
2005-01-01,8906500
2005-04-01,8947400
2005-07-01,8945200
2005-10-01,8929800
2006-01-01,9000000
2006-04-01,9058100
2006-07-01,9048600
2006-10-01,9042600
2007-01-01,9017100
2007-04-01,8986500
2007-07-01,8999000
2007-10-01,9019900
2008-01-01,9026600
2008-04-01,9055600
2008-07-01,9079500
2008-10-01,9074200
2009-01-01,9071600
2009-04-01,9041800
2009-07-01,8987100
2009-10-01,8942000
2010-01-01,8886200
2010-04-01,8877800
2010-07-01,8890800
2010-10-01,8864600
2011-01-01,8852300
2011-04-01,8803500
2011-07-01,8763000
2011-10-01,8743000
2012-01-01,8698600
2012-04-01,8685800
2012-07-01,8687600
2012-10-01,8726000
2013-01-01,8766400
2013-04-01,8817100
2013-07-01,8890300
2013-10-01,8930200
2014-01-01,8958400
2014-04-01,8978200
2014-07-01,8958600
2014-10-01,8946300
2015-01-01,8996200
2015-04-01,9046200
2015-07-01,9091900
2015-10-01,9160400
2016-01-01,9205800
2016-04-01,9185600
2016-07-01,9172300
2016-10-01,9161400
2017-01-01,9169500
2017-04-01,9200600
2017-07-01,9246600
2017-10-01,9248400
2018-01-01,9232300
2018-04-01,9248900
2018-07-01,9260200
2018-10-01,9302000
2019-01-01,9289200
2019-04-01,9239400
2019-07-01,9165900
2019-10-01,9115100
2020-01-01,9146200
2020-04-01,8772000
2020-07-01,8549900
2020-10-01,8368500
2021-01-01,8151600
2021-04-01,8388700
2021-07-01,8480700
2021-10-01,8532500
2022-01-01,8694500
2022-04-01,8850500
2022-07-01,8985900
