DATE,EMPLOYTX
2003-10-01,10240300
2004-01-01,10252900
2004-04-01,10238400
2004-07-01,10258300
2004-10-01,10303200
2005-01-01,10404700
2005-04-01,10497100
2005-07-01,10570200
2005-10-01,10629900
2006-01-01,10692200
2006-04-01,10728500
2006-07-01,10808100
2006-10-01,10912700
2007-01-01,10967300
2007-04-01,11028000
2007-07-01,11028900
2007-10-01,11046600
2008-01-01,11079500
2008-04-01,11147400
2008-07-01,11177100
2008-10-01,11166300
2009-01-01,11157500
2009-04-01,11124400
2009-07-01,11081700
2009-10-01,11057200
2010-01-01,11073800
2010-04-01,11066600
2010-07-01,11115200
2010-10-01,11155700
2011-01-01,11173800
2011-04-01,11216000
2011-07-01,11252400
2011-10-01,11326800
2012-01-01,11453100
2012-04-01,11590000
2012-07-01,11714600
2012-10-01,11797100
2013-01-01,11842800
2013-04-01,11885200
2013-07-01,11956300
2013-10-01,12030700
2014-01-01,12123900
2014-04-01,12224700
2014-07-01,12299900
2014-10-01,12374700
2015-01-01,12407900
2015-04-01,12420000
2015-07-01,12435100
2015-10-01,12433700
2016-01-01,12501200
2016-04-01,12570900
2016-07-01,12643400
2016-10-01,12734800
2017-01-01,12759000
2017-04-01,12790500
2017-07-01,12832100
2017-10-01,12907700
2018-01-01,13058500
2018-04-01,13157600
2018-07-01,13236500
2018-10-01,13342200
2019-01-01,13388000
2019-04-01,13443700
2019-07-01,13522000
2019-10-01,13587700
2020-01-01,13601700
2020-04-01,13273200
2020-07-01,13107400
2020-10-01,12945900
2021-01-01,12784300
2021-04-01,13073900
2021-07-01,13276600
2021-10-01,13453100
2022-01-01,13685100
2022-04-01,13866500
2022-07-01,13956700
