DATE,LNS12000001
1948-01-01,41736
1948-02-01,41835
1948-03-01,41431
1948-04-01,41585
1948-05-01,41510
1948-06-01,41809
1948-07-01,41969
1948-08-01,41825
1948-09-01,41652
1948-10-01,41823
1948-11-01,41735
1948-12-01,41861
1949-01-01,41513
1949-02-01,41393
1949-03-01,41182
1949-04-01,41162
1949-05-01,40866
1949-06-01,40685
1949-07-01,40484
1949-08-01,40640
1949-09-01,40859
1949-10-01,40412
1949-11-01,41006
1949-12-01,40983
1950-01-01,40857
1950-02-01,40922
1950-03-01,40942
1950-04-01,41228
1950-05-01,41511
1950-06-01,41621
1950-07-01,41747
1950-08-01,42148
1950-09-01,42146
1950-10-01,42034
1950-11-01,41912
1950-12-01,41735
1951-01-01,41754
1951-02-01,41826
1951-03-01,42188
1951-04-01,41877
1951-05-01,41972
1951-06-01,41672
1951-07-01,41614
1951-08-01,41689
1951-09-01,41625
1951-10-01,41705
1951-11-01,41591
1951-12-01,41941
1952-01-01,41858
1952-02-01,41912
1952-03-01,41688
1952-04-01,41595
1952-05-01,41713
1952-06-01,41675
1952-07-01,41589
1952-08-01,41367
1952-09-01,41480
1952-10-01,41574
1952-11-01,41682
1952-12-01,42110
1953-01-01,42518
1953-02-01,42873
1953-03-01,42892
1953-04-01,42575
1953-05-01,42432
1953-06-01,42479
1953-07-01,42474
1953-08-01,42426
1953-09-01,42229
1953-10-01,42179
1953-11-01,42292
1953-12-01,41948
1954-01-01,41933
1954-02-01,41972
1954-03-01,41525
1954-04-01,41608
1954-05-01,41471
1954-06-01,41456
1954-07-01,41452
1954-08-01,41542
1954-09-01,41650
1954-10-01,41562
1954-11-01,41680
1954-12-01,41639
1955-01-01,41934
1955-02-01,41938
1955-03-01,42130
1955-04-01,42196
1955-05-01,42490
1955-06-01,42474
1955-07-01,42834
1955-08-01,42816
1955-09-01,43072
1955-10-01,43054
1955-11-01,43179
1955-12-01,43310
1956-01-01,43469
1956-02-01,43365
1956-03-01,43377
1956-04-01,43373
1956-05-01,43379
1956-06-01,43397
