DATE,LNS12000002
1948-01-01,16325
1948-02-01,16361
1948-03-01,16240
1948-04-01,16706
1948-05-01,16344
1948-06-01,16934
1948-07-01,16999
1948-08-01,16631
1948-09-01,16861
1948-10-01,16564
1948-11-01,16682
1948-12-01,16879
1949-01-01,16662
1949-02-01,16815
1949-03-01,16861
1949-04-01,16585
1949-05-01,16686
1949-06-01,16487
1949-07-01,16706
1949-08-01,16757
1949-09-01,16725
1949-10-01,16857
1949-11-01,17003
1949-12-01,16862
1950-01-01,16778
1950-02-01,16829
1950-03-01,16786
1950-04-01,17355
1950-05-01,17138
1950-06-01,17431
1950-07-01,17254
1950-08-01,17649
1950-09-01,17429
1950-10-01,17769
1950-11-01,17785
1950-12-01,17694
1951-01-01,17882
1951-02-01,17835
1951-03-01,18213
1951-04-01,18012
1951-05-01,18216
1951-06-01,17948
1951-07-01,18542
1951-08-01,18305
1951-09-01,18088
1951-10-01,18305
1951-11-01,18245
1951-12-01,18556
1952-01-01,18602
1952-02-01,18550
1952-03-01,18220
1952-04-01,18314
1952-05-01,18482
1952-06-01,18544
1952-07-01,18382
1952-08-01,18423
1952-09-01,19041
1952-10-01,18558
1952-11-01,19066
1952-12-01,18844
1953-01-01,19082
1953-02-01,19011
1953-03-01,19118
1953-04-01,18869
1953-05-01,18587
1953-06-01,18977
1953-07-01,18923
1953-08-01,18725
1953-09-01,18677
1953-10-01,18714
1953-11-01,18446
1953-12-01,18029
1954-01-01,18091
1954-02-01,18691
1954-03-01,18661
1954-04-01,18577
1954-05-01,18437
1954-06-01,18336
1954-07-01,18191
1954-08-01,18311
1954-09-01,18632
1954-10-01,18708
1954-11-01,18677
1954-12-01,18477
1955-01-01,18819
1955-02-01,18789
1955-03-01,18834
1955-04-01,19319
1955-05-01,19144
1955-06-01,19307
1955-07-01,19679
1955-08-01,19981
1955-09-01,19878
1955-10-01,19937
1955-11-01,20078
1955-12-01,20374
1956-01-01,20284
1956-02-01,20153
1956-03-01,20034
1956-04-01,20241
1956-05-01,20482
1956-06-01,20423
1956-07-01,20418
1956-08-01,20548
1956-09-01,20673
1956-10-01,20579
1956-11-01,20523
1956-12-01,20616
1957-01-01,20422
